filename,species_code,common_name,scientific_name,source,observation_id,latitude,longitude,observed_date,license,url
barred_sand_bass_327030856_00.jpg,barred_sand_bass,Barred Sand Bass,Paralabrax nebulifer,inaturalist,327030856,,,2025-11-13 10:14:46-08:00,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/592400242/medium.jpg
barred_sand_bass_323586827_00.jpg,barred_sand_bass,Barred Sand Bass,Paralabrax nebulifer,inaturalist,323586827,,,2025-10-23 22:39:00-07:00,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/585531515/medium.jpg
barred_sand_bass_323126676_00.jpg,barred_sand_bass,Barred Sand Bass,Paralabrax nebulifer,inaturalist,323126676,,,2025-10-25 20:57:26-07:00,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/584654754/medium.jpg
barred_sand_bass_323126086_00.jpg,barred_sand_bass,Barred Sand Bass,Paralabrax nebulifer,inaturalist,323126086,,,2025-10-25 20:44:44-07:00,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/584653763/medium.jpg
barred_sand_bass_323122342_00.jpg,barred_sand_bass,Barred Sand Bass,Paralabrax nebulifer,inaturalist,323122342,,,2025-10-25 20:45:04-07:00,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/584654952/medium.jpg
barred_sand_bass_322651669_00.jpg,barred_sand_bass,Barred Sand Bass,Paralabrax nebulifer,inaturalist,322651669,,,2025-10-23 14:08:51-07:00,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/583724211/medium.jpg
barred_sand_bass_322644948_00.jpg,barred_sand_bass,Barred Sand Bass,Paralabrax nebulifer,inaturalist,322644948,,,2025-10-22 17:11:19-07:00,,https://static.inaturalist.org/photos/583710331/medium.jpg
barred_sand_bass_322492486_00.jpg,barred_sand_bass,Barred Sand Bass,Paralabrax nebulifer,inaturalist,322492486,,,2025-10-22 16:20:15-07:00,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/583418735/medium.jpg
barred_sand_bass_321547361_00.jpg,barred_sand_bass,Barred Sand Bass,Paralabrax nebulifer,inaturalist,321547361,,,2025-10-17 09:03:00-07:00,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/581435318/medium.jpg
barred_sand_bass_321547329_00.jpg,barred_sand_bass,Barred Sand Bass,Paralabrax nebulifer,inaturalist,321547329,,,2025-10-17 08:28:00-07:00,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/581435033/medium.jpg
barred_sand_bass_321546192_00.jpg,barred_sand_bass,Barred Sand Bass,Paralabrax nebulifer,inaturalist,321546192,,,2025-10-17 16:14:00-07:00,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/581536247/medium.jpg
barred_sand_bass_321546192_01.jpg,barred_sand_bass,Barred Sand Bass,Paralabrax nebulifer,inaturalist,321546192,,,2025-10-17 16:14:00-07:00,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/581536243/medium.jpg
barred_sand_bass_321546192_02.jpg,barred_sand_bass,Barred Sand Bass,Paralabrax nebulifer,inaturalist,321546192,,,2025-10-17 16:14:00-07:00,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/581536245/medium.jpg
barred_sand_bass_321543907_00.jpg,barred_sand_bass,Barred Sand Bass,Paralabrax nebulifer,inaturalist,321543907,,,2025-10-17 15:21:00-07:00,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/581531783/medium.jpg
barred_sand_bass_320472676_00.jpg,barred_sand_bass,Barred Sand Bass,Paralabrax nebulifer,inaturalist,320472676,,,2025-10-09 22:19:00-07:00,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/579423274/medium.jpg
barred_sand_bass_320472652_00.jpg,barred_sand_bass,Barred Sand Bass,Paralabrax nebulifer,inaturalist,320472652,,,2025-10-09 22:06:00-07:00,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/579422683/medium.jpg
barred_sand_bass_320065331_00.jpg,barred_sand_bass,Barred Sand Bass,Paralabrax nebulifer,inaturalist,320065331,,,2025-10-10 08:11:00-07:00,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/578622726/medium.jpg
barred_sand_bass_319152502_00.jpg,barred_sand_bass,Barred Sand Bass,Paralabrax nebulifer,inaturalist,319152502,,,2025-10-05 08:25:00-07:00,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/576887337/medium.jpg
barred_sand_bass_318977106_00.jpg,barred_sand_bass,Barred Sand Bass,Paralabrax nebulifer,inaturalist,318977106,,,2025-10-02 21:29:00-07:00,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/576544357/medium.jpg
barred_sand_bass_318972890_00.jpg,barred_sand_bass,Barred Sand Bass,Paralabrax nebulifer,inaturalist,318972890,,,2025-10-01 21:50:00-07:00,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/576534468/medium.jpg
