filename,species_code,common_name,scientific_name,source,observation_id,latitude,longitude,observed_date,license,url,category
yelloweye_303280844_00.jpg,yelloweye,Yelloweye Rockfish,Sebastes ruberrimus,inaturalist,303280844,,,2025-08-02 10:26:43-07:00,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/546617054/medium.jpg,prohibited
yelloweye_253075917_00.jpg,yelloweye,Yelloweye Rockfish,Sebastes ruberrimus,inaturalist,253075917,,,2024-11-24 14:35:00-08:00,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/453079234/medium.jpeg,prohibited
yelloweye_253075917_01.jpg,yelloweye,Yelloweye Rockfish,Sebastes ruberrimus,inaturalist,253075917,,,2024-11-24 14:35:00-08:00,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/453079235/medium.jpeg,prohibited
yelloweye_249427533_00.jpg,yelloweye,Yelloweye Rockfish,Sebastes ruberrimus,inaturalist,249427533,,,2024-10-27 10:36:00-07:00,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/445871382/medium.jpeg,prohibited
yelloweye_249427533_01.jpg,yelloweye,Yelloweye Rockfish,Sebastes ruberrimus,inaturalist,249427533,,,2024-10-27 10:36:00-07:00,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/445871389/medium.jpeg,prohibited
yelloweye_249427533_02.jpg,yelloweye,Yelloweye Rockfish,Sebastes ruberrimus,inaturalist,249427533,,,2024-10-27 10:36:00-07:00,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/445871395/medium.jpeg,prohibited
yelloweye_234420759_00.jpg,yelloweye,Yelloweye Rockfish,Sebastes ruberrimus,inaturalist,234420759,,,2024-08-07 13:36:38-07:00,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/416737465/medium.jpeg,prohibited
yelloweye_233016847_00.jpg,yelloweye,Yelloweye Rockfish,Sebastes ruberrimus,inaturalist,233016847,,,2024-07-31 11:34:25-07:00,,https://static.inaturalist.org/photos/414059992/medium.jpeg,prohibited
yelloweye_233016847_01.jpg,yelloweye,Yelloweye Rockfish,Sebastes ruberrimus,inaturalist,233016847,,,2024-07-31 11:34:25-07:00,,https://static.inaturalist.org/photos/414060013/medium.jpeg,prohibited
yelloweye_233016847_02.jpg,yelloweye,Yelloweye Rockfish,Sebastes ruberrimus,inaturalist,233016847,,,2024-07-31 11:34:25-07:00,,https://static.inaturalist.org/photos/414060030/medium.jpeg,prohibited
